Label,Cluster,Best_Match_Pred,6_Count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2,Lack_Count
OPPO-FINDX3PRO_2,1,IPAD-11air,3,0,0,0,0,0,2,4,1,0
OPPO-FINDX3PRO_2,1,IPAD-11air,3,0,0,0,0,0,2,6,1,0
OPPO-FINDX3PRO_2,1,IPAD-11air,3,0,0,0,0,0,2,4,1,0
OPPO-FINDX3PRO_2,1,IPAD-11air,2,0,0,0,0,1,2,2,1,1
OPPO-FINDX3PRO_2,16,HONOR-70_1,3,0,0,0,0,1,1,6,0,1
OPPO-FINDX3PRO_2,1,IPAD-11air,3,0,0,1,0,0,1,5,1,1
OPPO-FINDX3PRO_2,16,HONOR-70_1,2,0,0,0,0,0,0,2,0,0
OPPO-FINDX3PRO_2,16,HONOR-70_1,2,0,0,0,0,0,1,3,0,0
OPPO-FINDX3PRO_2,1,IPAD-11air,4,0,0,0,0,0,2,6,1,0
OPPO-FINDX3PRO_2,1,IPAD-11air,2,0,0,0,0,0,2,6,1,0
OPPO-FINDX6_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,1,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,4,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,3,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,4,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,3,1,1,0,0,1,2,6,1,3
OPPO-FINDX6_1,0,HONOR-80_SE_1,5,1,1,0,0,0,2,1,0,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,4,1,1,0,0,0,2,6,1,2
OPPO-FINDX6_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,6,1,2
VIVO-X60_2,1,IPAD-11air,0,0,0,0,1,0,1,2,0,1
VIVO-X60_2,16,HONOR-70_1,1,0,0,0,0,1,2,3,0,1
VIVO-X60_2,15,VIVO-X60_2,1,0,0,0,1,1,1,2,0,2
VIVO-X60_2,16,HONOR-70_1,2,0,0,0,0,0,1,2,0,0
VIVO-X60_2,16,HONOR-70_1,3,0,0,0,0,0,1,0,0,0
VIVO-X60_2,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
VIVO-X60_2,16,HONOR-70_1,3,0,0,0,0,0,1,3,0,0
VIVO-X60_2,15,VIVO-X60_2,2,1,1,0,1,1,1,5,0,4
VIVO-X60_2,16,HONOR-70_1,2,0,0,0,0,0,1,1,0,0
VIVO-X60_2,1,IPAD-11air,3,0,0,0,1,0,0,3,0,1
VIVO-X60_2,16,HONOR-70_1,2,0,0,0,0,0,1,2,0,0
VIVO-X60_2,0,HONOR-80_SE_1,3,0,1,0,0,0,1,2,0,1
VIVO-X90,0,HONOR-80_SE_1,3,1,1,0,0,0,2,2,1,2
VIVO-X90,0,HONOR-80_SE_1,2,1,1,0,1,0,0,0,0,3
VIVO-X90,0,HONOR-80_SE_1,3,1,1,0,0,0,1,2,0,2
VIVO-X90,0,HONOR-80_SE_1,3,1,1,0,0,0,2,5,1,2
VIVO-X90,0,HONOR-80_SE_1,0,1,1,0,0,1,2,3,1,3
VIVO-X90,0,HONOR-80_SE_1,0,1,1,0,0,1,1,1,0,3
VIVO-X90,0,HONOR-80_SE_1,2,1,1,0,0,1,1,3,0,3
VIVO-X90,0,HONOR-80_SE_1,1,1,1,0,0,0,1,5,1,2
VIVO-X90,0,HONOR-80_SE_1,1,1,1,0,0,0,0,3,0,2
VIVO-X90,0,HONOR-80_SE_1,3,1,1,0,1,1,1,5,1,4
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,2,0,0,0,0,1,0,6,0,1
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,4,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,2,0,0
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,2,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,5,0,0,0,0,0,0,3,0,0
XIAOMI-10MI10,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
XIAOMI-10MI3,1,IPAD-11air,4,0,0,0,0,0,1,3,0,0
XIAOMI-10MI3,3,HONOR-60SE_1,3,0,0,0,0,0,4,5,2,0
XIAOMI-10MI3,1,IPAD-11air,1,0,0,0,0,0,3,2,0,0
XIAOMI-10MI3,16,HONOR-70_1,6,0,0,0,0,0,3,2,0,0
XIAOMI-10MI3,1,IPAD-11air,3,1,0,0,0,0,3,3,2,1
XIAOMI-10MI3,16,HONOR-70_1,2,0,0,0,0,0,2,0,0,0
XIAOMI-10MI3,16,HONOR-70_1,5,0,0,0,0,0,3,2,1,0
XIAOMI-10MI3,11,XIAOMI-10MI3,3,0,0,0,1,1,5,6,4,2
XIAOMI-10MI3,16,HONOR-70_1,3,0,0,0,0,0,3,0,0,0
XIAOMI-10MI3,1,IPAD-11air,6,0,0,0,0,0,3,3,1,0
XIAOMI-10MI3,1,IPAD-11air,4,0,0,0,0,0,2,2,1,0
XIAOMI-10MI3,0,HONOR-80_SE_1,2,1,0,0,1,1,3,0,0,3
