Sample,Type_6_Last_Occurrence_Time,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Exists,Dst_One_Count,Type_Unique_Count,Type_Sequence,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,Type_2_First_Occurrence_Time_Diff,Type_3_First_Occurrence_Time_Diff,Type_4_First_Occurrence_Time_Diff,Type_5_First_Occurrence_Time_Diff,Type_6_First_Occurrence_Time_Diff,Type_Sequence_Descending_Count,Label
47,0.0228610038757324,,0.0228610038757324,0.0,0.0,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0023469924926757,0.0088589191436767,0.0166668891906738,0,0,2,1,1,3,0.0,0.0,0.0023469924926757,0.006511926651001001,0.0078079700469971,0,HONOR-80_SE_2
48,0.0286548137664794,"1,2,2,2,1,2,2,2",0.0286548137664794,3.734794855117798,3.7470673322677612,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0024337768554687,0.0087029933929443,0.0217080116271972,0,0,2,1,1,3,0.0,0.0,0.0024337768554687,0.0062692165374756,0.0130050182342529,0,HONOR-80_SE_2
49,0.0226249694824218,"1,1,2,2",0.0226249694824218,6.866554021835327,11.80299597978592,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0026280879974365,0.0085079669952392,0.0168120861053466,0,0,2,1,1,3,0.0,0.0,0.0026280879974365,0.0058798789978027005,0.0083041191101074,0,HONOR-80_SE_2
50,0.0287530422210693,"1,1,2,2,2",0.0287530422210693,6.837985992431641,6.848955035209656,0,0,4,"3,3,4,5,6,6,6,6",0.0,0.0,0.0,0.0026659965515136,0.0094211101531982,0.0220420360565185,0,0,2,1,1,4,0.0,0.0,0.0026659965515136,0.006755113601684601,0.012620925903320299,0,HONOR-80_SE_2
51,0.0299279689788818,"1,2,2,1,2,2,2",0.0299279689788818,3.830595016479492,3.8418514728546143,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0031569004058837,0.0096559524536132,0.0239489078521728,0,0,2,1,1,3,0.0,0.0,0.0031569004058837,0.006499052047729499,0.0142929553985596,0,HONOR-80_SE_2
52,0.0493078231811523,"2,2,2",0.0493078231811523,0.4100790023803711,0.0,0,0,6,"1,1,1,3,2,2,2,3,4,5,6,6,6,6,6,6",0.0,0.0030047893524169,0.0009279251098632,0.006908893585205,0.0148618221282958,0.0228238105773925,3,3,2,1,1,6,0.0030047893524169,-0.0020768642425536997,0.0059809684753418,0.0079529285430908,0.007961988449096699,1,HUAWEI-mate40pro
53,0.040982961654663,"2,2,2,2,2",0.040982961654663,0.3794958591461181,0.0,0,0,6,"1,1,1,3,2,3,2,2,3,4,5,6,6,6,6",0.0,0.0008769035339355,0.000870943069458,0.005415916442871,0.012002944946289,0.0308799743652343,3,3,3,1,1,4,0.0008769035339355,-5.960464477500031e-06,0.004544973373413,0.006587028503418,0.0188770294189453,2,HUAWEI-mate40pro
54,0.03973388671875,"2,2",0.03973388671875,0.4484460353851318,0.0,0,0,6,"1,2,2,3,2,3,4,5,6,6,6",0.0,2.5987625122070312e-05,0.0015029907226562,0.005098819732666,0.0116920471191406,0.0237908363342285,1,3,2,1,1,3,2.5987625122070312e-05,0.0014770030975341296,0.0035958290100098003,0.006593227386474601,0.012098789215087898,1,HUAWEI-mate40pro
55,0.0396208763122558,"2,2,2",0.0396208763122558,0.3509168624877929,0.0,0,0,6,"1,2,2,3,2,3,4,5,6,6,6",0.0,2.5987625122070312e-05,0.001039981842041,0.0042569637298583,0.0106680393218994,0.0236768722534179,1,3,2,1,1,3,2.5987625122070312e-05,0.0010139942169189297,0.0032169818878173004,0.0064110755920411,0.0130088329315185,1,HUAWEI-mate40pro
56,0.0402820110321044,"2,2,2",0.0402820110321044,0.3907990455627441,0.0,0,0,6,"1,2,2,3,3,4,5,6,6,6",0.0,2.288818359375e-05,0.0011048316955566,0.0052130222320556,0.011786937713623,0.0250470638275146,1,2,2,1,1,3,2.288818359375e-05,0.00108194351196285,0.004108190536499,0.0065739154815674,0.0132601261138916,0,HUAWEI-mate40pro
57,0.0395400524139404,"2,2,2,2,2",0.0395400524139404,0.4257960319519043,0.0,0,0,5,"1,2,2,3,2,3,5,6,6,6",0.0,2.5987625122070312e-05,0.0011558532714843,0.0,0.0106940269470214,0.0197799205780029,1,3,2,0,1,3,2.5987625122070312e-05,0.0011298656463622297,-0.0011558532714843,0.0106940269470214,0.009085893630981499,1,HUAWEI-mate40pro
58,0.0410659313201904,"2,2",0.0410659313201904,1.6733109951019287,0.0,0,0,6,"1,2,2,3,2,4,5,6,6,6",0.0,2.193450927734375e-05,0.0014040470123291,0.0048530101776123,0.0111479759216308,0.0203580856323242,1,3,1,1,1,3,2.193450927734375e-05,0.0013821125030517563,0.0034489631652832005,0.0062949657440185,0.009210109710693401,1,HUAWEI-mate40pro
59,0.0375199317932128,"2,2,2",0.0375199317932128,0.3948299884796142,0.0,0,0,6,"1,2,3,3,3,2,3,2,3,4,5,6,6,6",0.0,2.384185791015625e-05,0.0008058547973632,0.0050230026245117,0.0118448734283447,0.0138299465179443,1,3,5,1,1,3,2.384185791015625e-05,0.0007820129394530438,0.0042171478271485,0.006821870803833001,0.001985073089599599,2,HUAWEI-mate40pro
60,0.0616240501403808,"2,2,2",0.0616240501403808,0.4051439762115478,0.0,0,0,6,"1,2,2,3,2,3,4,5,6,6,6",0.0,2.288818359375e-05,0.0014779567718505,0.0037150382995605,0.010977029800415,0.0327370166778564,1,3,2,1,1,3,2.288818359375e-05,0.00145506858825675,0.00223708152771,0.007261991500854499,0.0217599868774414,1,HUAWEI-mate40pro
61,0.0402708053588867,"2,2,2,2,2,2",0.0402708053588867,0.4130318164825439,0.0,0,0,5,"1,1,2,3,2,2,3,4,6,6,6,6",0.0,3.695487976074219e-05,0.0009407997131347,0.0052030086517333,0.0,0.0149409770965576,2,3,2,1,0,4,3.695487976074219e-05,0.0009038448333739578,0.004262208938598601,-0.0052030086517333,0.0149409770965576,1,HUAWEI-mate40pro
62,0.0413699150085449,"2,2,2,2,2,2",0.0413699150085449,0.3944628238677978,0.0,0,0,6,"1,2,3,2,3,4,5,6,6,6",0.0,0.0012259483337402,0.0012497901916503,0.0042119026184082,0.0112459659576416,0.027613878250122,1,2,2,1,1,3,0.0012259483337402,2.384185791010009e-05,0.0029621124267578997,0.0070340633392334,0.0163679122924804,1,HUAWEI-mate40pro
63,0.0394909381866455,"2,2,2,2,2,2",0.0394909381866455,0.4362530708312988,0.0,0,0,6,"1,2,2,3,3,4,5,6,6,6",0.0,2.288818359375e-05,0.0012788772583007,0.0052640438079833,0.0118250846862792,0.0227010250091552,1,2,2,1,1,3,2.288818359375e-05,0.00125598907470695,0.003985166549682601,0.006561040878295899,0.010875940322876,0,HUAWEI-mate40pro
64,0.1610529422760009,"1,2,2,2,1,2,2,2",0.1610529422760009,1.7533929347991943,6.906756043434143,0,0,5,"3,2,2,3,4,5,6,6",0.0,0.0292890071868896,0.0,0.0456271171569824,0.0631170272827148,0.1541860103607177,0,2,2,1,1,2,0.0292890071868896,-0.0292890071868896,0.0456271171569824,0.0174899101257324,0.09106898307800289,1,HUAWEI-mate50pro
65,0.0708351135253906,"1,2,2,2",0.0708351135253906,1.546670913696289,8.496467034022013,0,0,6,"1,2,1,2,2,3,3,4,5,6,6,6,6,6",0.0,5.793571472167969e-05,0.0059130191802978,0.0102970600128173,0.0182709693908691,0.0305390357971191,2,3,2,1,1,5,5.793571472167969e-05,0.005855083465576121,0.004384040832519499,0.0079739093780518,0.01226806640625,1,HUAWEI-mate50pro
66,0.2010631561279297,"1,2,2,2,1,2,2,2",0.2010631561279297,1.7652111053466797,7.00855952501297,0,0,6,"1,3,2,2,2,3,4,5,6,6,6,6",0.0,0.0305020809173584,0.0021560192108154,0.0448119640350341,0.0725159645080566,0.1752259731292724,1,3,2,1,1,4,0.0305020809173584,-0.028346061706542997,0.0426559448242187,0.027704000473022496,0.1027100086212158,1,HUAWEI-mate50pro
67,0.0621359348297119,"1,2,2,2,1,2",0.0621359348297119,2.0037310123443604,7.124748408794403,0,0,6,"1,2,2,2,3,3,4,5,6,6,6",0.0,2.694129943847656e-05,0.0058579444885253,0.0097918510437011,0.0164690017700195,0.020737886428833,1,3,2,1,1,3,2.694129943847656e-05,0.005831003189086824,0.0039339065551758,0.006677150726318399,0.004268884658813501,0,HUAWEI-mate50pro
68,0.0760998725891113,"2,1,2,2,2",0.0760998725891113,1.4893670082092283,8.438145637512207,0,0,5,"1,2,3,3,5,6,6,6,6",0.0,0.0035269260406494,0.0114409923553466,0.0,0.0222640037536621,0.0389699935913085,1,1,2,0,1,4,0.0035269260406494,0.0079140663146972,-0.0114409923553466,0.0222640037536621,0.016705989837646398,0,HUAWEI-mate50pro
69,0.0657949447631836,"1,2,2,2,1,2,2,2",0.0657949447631836,1.532784938812256,1.5424529314041138,0,0,6,"1,1,1,2,2,3,4,5,6",0.0,0.0026049613952636,0.008599042892456,0.0117979049682617,0.0196230411529541,0.0551700592041015,3,2,1,1,1,1,0.0026049613952636,0.005994081497192399,0.0031988620758057005,0.007825136184692402,0.0355470180511474,0,HUAWEI-mate50pro
