Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Time_Ratio,Range_1,A_CV,Range_2,A_Skewness,Range_1_2
IQOO-Z9X,10.2778799533844,0.2054429054260254,-0.8322505773538046,8,1.7970375307592616,4,2.2656798449409554,1
IQOO-Z9X,10.505439043045044,0.2013509273529052,-0.8818131332686819,5,1.8393276219310908,6,2.1324476368699905,2
IQOO-Z9X,10.19688606262207,0.2122831344604492,-0.8021833374514253,8,1.7141098832052089,5,2.273307747335205,2
IQOO-Z9X,10.141741037368774,0.201279878616333,-0.8301775939940467,7,1.7661794979122578,4,2.2550130693156665,0
IQOO-Z9X,10.155234098434448,0.1967589855194091,-0.8601482914014495,6,1.8617387310907951,7,2.2548334244820865,4
IQOO-Z9X,10.291454076766968,0.214616060256958,-0.8528114290157912,4,1.8754428054982024,4,2.337320694870744,1
IQOO-Z9X,10.29013705253601,0.2054851055145263,-0.8283517062377375,5,1.7682573980807397,5,2.262007897202248,2
IQOO-Z9X,10.257920026779177,0.2041630744934082,-0.8711524403203468,8,1.80745267459628,6,2.1348385831497105,3
VIVO-X60_2,9.636471033096312,0.251406192779541,-0.9051252093460816,4,1.5926454511678532,5,1.6667184509623771,1
VIVO-X60_2,9.566606998443604,0.2543950080871582,-0.8949269453894526,6,1.5684524380935576,4,1.663745260549504,2
VIVO-X60_2,9.389251947402954,0.2533769607543945,-0.9023392363136796,4,1.4740456580946415,4,1.487613427062756,1
VIVO-X60_2,9.742932081222534,0.255634069442749,-0.8994615778483073,6,1.6560746073001122,6,1.7983604928995245,2
VIVO-X60_2,9.494130849838257,0.2513909339904785,-0.8955292533265049,6,1.5748673765401628,4,1.66662918546997,2
VIVO-X60_2,9.333518981933594,0.2513480186462402,-0.9067831497870482,6,1.5992023575589671,5,1.6755528031004552,2
VIVO-X60_2,9.512786865234377,0.2525639533996582,-0.8992646295299858,6,1.5702066693300312,4,1.6501488340198245,2
VIVO-X60_2,9.335498094558716,0.2615540027618408,-0.8931850065221135,7,1.677333221316495,4,1.786338233143714,2
VIVO-X60_2,9.35507607460022,0.2518091201782226,-0.903633337246867,6,1.599342818733635,5,1.664116518266555,2
VIVO-X60_2,9.400672912597656,0.2515408992767334,-0.9001477670493697,8,1.573186852484193,5,1.6702851070771954,2
VIVO-X60_2,9.299506902694702,0.2494959831237793,-0.9037136561098252,6,1.5790549602122843,5,1.654202485690581,2
VIVO-X60_2,9.477282047271729,0.2515461444854736,-0.8974978697914149,6,1.5777988722931533,4,1.6818289992115238,2
VIVO-X60_2,9.39141583442688,0.2514398097991943,-0.9038179809693584,6,1.5803574684098962,4,1.6437254312937903,2
VIVO-X60_2,9.412163019180298,0.2547929286956787,-0.895044255571598,4,1.5617669848196507,5,1.6751972397637274,1
VIVO-X60_2,9.435926914215088,0.2534940242767334,-0.900115779167462,8,1.579944495888434,4,1.65804388875034,2
VIVO-X70_PRO_1,9.377449035644531,0.4326939582824707,-0.0674193459514558,1,1.1373066152068865,3,0.9540130417983126,0
VIVO-X70_PRO_1,0.0,0.4887661933898926,-0.084253236775585,0,0.8283848477262432,0,0.7770197289946104,0
VIVO-X70_PRO_1,0.0,0.4585869312286377,-0.0506469354852964,0,0.7504703365714738,0,-0.1867919368011745,0
VIVO-X70_PRO_1,0.0,0.5243089199066162,-0.0789914651875234,0,1.0379178211646969,0,0.6924000257485037,0
VIVO-X70_PRO_1,0.0,0.4955110549926758,-0.0760386734695841,0,1.1042693499223564,0,0.719014191350929,0
VIVO-X70_PRO_1,0.0,0.4182801246643066,-0.0848355614531284,0,1.337887181846153,0,1.3955256575091042,0
VIVO-X70_PRO_1,0.0,0.4640679359436035,-0.0882738864040129,0,1.119764483481304,0,1.1198448354496664,0
VIVO-X70_PRO_1,0.0,0.4030919075012207,-0.0962808084273283,0,0.7094820421990427,0,-0.7290568677435502,0
VIVO-X70_PRO_1,0.0,0.4846780300140381,-0.0840784559102398,0,1.0966711935163416,0,0.6433220323403285,0
VIVO-X70_PRO_1,0.0,0.4814178943634033,-0.0529849996013296,0,1.3136116377008051,0,1.512985225344094,0
VIVO-X70_PRO_1,8.513443946838379,0.4874320030212402,-0.1112648072477619,1,0.7949782604960768,3,0.2344053618747134,0
VIVO-X70_PRO_1,0.0,0.4514920711517334,-0.1017735168546148,0,0.98651258694492,0,1.0475605916795176,0
VIVO-X70_PRO_1,0.0,0.503364086151123,-0.0949195315408508,0,0.8490148446589195,0,0.3088106773785827,0
XIAOMI-10MI1,1.2638649940490725,0.0443720817565918,-0.551652248670141,1,1.4538544541571847,3,1.431355316077749,0
XIAOMI-10MI1,11.123605966567991,0.0532901287078857,-0.7826230901729191,1,1.588305574001421,3,2.332662897607521,0
