Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Gap_23_Time,Gap_23_Time_Ratio,Type_3_Last_Time,A_IAT_StdDev,Type_6_Time_Ratio,Range_1,A_Silence_Max_Duration,A_Silence_Avg_Duration,A_Silence_Total_Duration,Gap_34_Time_Ratio,Range_2,Gap_34_Time,Probe_Time_Ratio,Range_1_2,A_Kurtosis,A_CV,A_IAT_Skew_Ratio,A_Skewness
HUAWEI-MateBook,0.0,0.0306000709533691,-0.0012319087982177,-0.0402583641095143,1.4066696166992188e-05,0.0081566497321508,-0.8890499119567402,0,0.0239379405975341,0.0239379405975341,0.0239379405975341,0.1063063905380765,0,0.0032529830932617,0.0407180589967722,0,3.059957413246682,2.1324525017162657,6.716383092563202,2.234745431601912
HUAWEI-MateBook,0.0,0.0299339294433593,0.0009338855743408,0.0311982286224062,0.0023829936981201,0.0057772400133263,-0.8884207340384854,0,0.0165319442749023,0.0165319442749023,0.0165319442749023,0.0010354275519305,0,3.099441528320009e-05,0.0484102204664171,0,1.053070094102833,1.5439977632760948,7.75905639364152,1.5553881694892044
HUAWEI-PadSE,2.8405749797821045,0.0323750972747802,5.960464477499923e-06,0.0001841064577169,0.0018751621246337,0.0037239819407672,-0.5587336421412316,1,0.0106849670410156,0.0106849670410156,0.0106849670410156,0.0459897931379855,3,0.0014889240264893,0.0275570545912454,0,-0.2955874442902475,1.265287359625942,4.405924739791714,1.1187438048341052
HUAWEI-PadSE,2.010936975479126,0.0386409759521484,6.914138794000065e-06,0.0001789328199826,0.0020809173583984,0.0041878198079919,-0.5628239301051382,2,0.0120089054107666,0.0120089054107666,0.0120089054107666,0.0718137617848861,6,0.0027749538421631,0.0227738289155419,1,-0.0240397825730775,1.3005323094876344,6.056598388180042,1.2016629240570809
HUAWEI-PadSE,2.5561230182647705,0.0404098033905029,7.1525573730000375e-06,0.0001770005487005,0.0022399425506591,0.0056836603522744,-0.3545674991592476,1,0.0193419456481932,0.0193419456481932,0.0193419456481932,0.0324914007233421,6,0.0013129711151123,0.0307803954192245,1,3.44026792114004,1.547155854010235,4.467768294897463,2.107716442205683
HUAWEI-PadSE,2.2031800746917725,0.0352430343627929,6.198883056700039e-06,0.0001758895954556,0.0021939277648925,0.0052734318269254,-0.8201325936950354,1,0.0180840492248535,0.0180840492248535,0.0180840492248535,0.0604654309295099,6,0.0021309852600098,0.0362873765390317,0,4.042284155826328,1.645935179673984,3.629056924384029,2.2915379170819032
HUAWEI-PadSE,1.981845140457153,0.039355993270874,0.0012960433959961,0.0329312841141086,0.0024521350860595,0.0046703454897722,-0.4707065444566278,1,0.0136168003082274,0.0136168003082274,0.0136168003082274,0.0316045822706605,5,0.0012438297271729,0.0293752385337199,0,-0.3881953064389627,1.186692318404439,5.612146813104192,0.907940025024172
HUAWEI-PadSE,1.9574449062347408,0.0467429161071777,0.0012280941009521,0.0262733736623594,0.0021669864654541,0.0059587595762693,-0.5044171503769369,2,0.018244981765747,0.018244981765747,0.018244981765747,0.0426566150142293,5,0.0019938945770263,0.0195099309373931,1,1.1524192298200182,1.529752973718553,7.581972277227521,1.62137140405859
HUAWEI-PadSE,12.710445165634155,0.0378730297088623,0.0026938915252686,0.0711295490742909,0.0038120746612548,0.0052653876773147,-0.8029222353022621,2,0.018177032470703,0.018177032470703,0.018177032470703,0.0454702834731922,6,0.0017220973968506,0.0288635261975041,1,3.828281627115953,1.5293010592418854,2.889381143569124,2.2157501540915407
HUAWEI-PadSE,2.135658025741577,0.0399360656738281,1.4066696166999994e-05,0.0003522303944982,0.002087116241455,0.0049049218834672,-0.670575031044035,2,0.0160901546478271,0.0160901546478271,0.0160901546478271,0.0549360015283222,6,0.0021939277648926,0.0518315980513882,1,1.7790982614693691,1.3510129204714991,3.615691672402079,1.6455157924988444
