Label,Type_Sequence,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Count,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,lack,excess,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2
HONOR-70_1,"1,2,3,2,2,3,4,5,6,6,6,6,6","2,2,2",0.0325479507446289,5.719035863876343,0.0,0,0.0,0.0017688274383544,0.0017778873443603,0.0052428245544433,0.0120408535003662,0.0198500156402587,1,3,2,1,1,5,(),"[(3, 2, 2, 3, 4)]",0,0,0,0,0,0,0,3,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6","2,2",0.0330159664154052,5.773015022277832,0.0,0,0.0,5.0067901611328125e-06,0.0028290748596191,0.0058889389038085,0.012402057647705,0.0166819095611572,1,2,2,1,1,4,(),"[(2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,0,2,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",,0.0332660675048828,0.0,0.0,0,0.0,0.0018379688262939,0.0029850006103515,0.0047190189361572,0.0126929283142089,0.015977144241333,1,2,2,1,1,4,(),"[(2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,2,2,3,3,3,3,3,4,3,5,6,6,6,6,6,6",,0.0413300991058349,0.0,0.0,0,0.0,8.106231689453125e-06,0.0026609897613525,0.0054500102996826,0.0121800899505615,0.0272009372711181,1,3,6,1,1,6,(),"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 4), (4, 3, 5)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,2,2,3,3,4,4,5,6,6,6,6",,0.0408549308776855,0.0,0.0,0,0.0,1.9073486328125e-06,0.0027880668640136,0.0059969425201416,0.012502908706665,0.0308649539947509,1,3,2,2,1,4,(),"[(2, 2, 2, 3), (3, 3, 4), (4, 4, 5)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,3,2,2,3,4,4,5,6,6,6,6",,0.0326449871063232,0.0,0.0,0,0.0,6.9141387939453125e-06,9.059906005859377e-06,0.0043330192565917,0.0111138820648193,0.0176498889923095,1,3,2,2,1,4,(),"[(3, 2, 2, 3, 4), (4, 4, 5)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,2,2,3,3,3,3,3,3,3,3,4,5,6,6,6,6",,0.0457220077514648,0.0,0.0,0,0.0,6.9141387939453125e-06,0.0030429363250732,0.008915901184082,0.0157690048217773,0.0366308689117431,1,3,8,1,1,4,(),"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 3, 3, 3, 4)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,1,1,1,2,2,2,3,3,4,5,6,6,6",,0.0317878723144531,0.0,0.0,0,0.0,0.003180980682373,0.0045859813690185,0.0076119899749755,0.0148608684539794,0.0178029537200927,4,3,2,1,1,3,(),"[(1, 1, 1, 1, 2), (2, 2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,2,2,3,3,3,4,5,6,6,6,6",,0.0377309322357177,0.0,0.0,0,0.0,9.5367431640625e-07,0.0030379295349121,0.0058429241180419,0.01320481300354,0.0244448184967041,1,3,3,1,1,4,(),"[(2, 2, 2, 3), (3, 3, 3, 4)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,2,2,3,3,4,5,6,6,6,6",,0.0405170917510986,0.0,0.0,0,0.0,9.059906005859377e-06,0.0030689239501953,0.005436897277832,0.0120229721069335,0.0300960540771484,1,3,2,1,1,4,(),"[(2, 2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,2,2,2,3,3,4,5,6,6,6,6",,0.0354580879211425,0.0,0.0,0,0.0,9.059906005859377e-06,0.0030200481414794,0.0053131580352783,0.0119881629943847,0.0260760784149169,1,3,2,1,1,4,(),"[(2, 2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,0,0,0
