Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Last_Time,Gap_23_Time,Type_5_Last_Time,Type_3_Last_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,A_IAT_P10,Type_6_Time_Ratio,Gap_34_Time_Ratio,Gap_23_Time_Ratio,Type_6_Time,A_IAT_P95,A_IAT_StdDev,DBSCAN_Cluster
OPPO-FINDX5_2,0.0,0.0586590766906738,0.0586590766906738,0.0029129981994628,0.0198431015014648,0.0101041793823242,0.0137000083923339,0.010099172592163,9.012222289999858e-06,0.5050887275742385,0.0613004706666547,0.0496598031166425,0.0296280384063721,0.0158520221710205,0.0061799146300155,0
OPPO-FINDX5_2,0.0,0.068572998046875,0.068572998046875,0.0022678375244141,0.0181751251220703,0.0049099922180175,0.0108571052551269,0.0049059391021728,5.960464477500031e-06,0.5022078048509124,0.0867267467734761,0.0330718736092573,0.034437894821167,0.018200397491455,0.0068234045774163,0
IQOO-Z9X,10.641841173171995,0.0304222106933593,0.0304222106933593,1.90734863280014e-06,0.0099480152130126,0.0013580322265625,0.0037200450897216,0.001357078552246,1.90734863280014e-06,0.1820454545454551,0.0776410658307185,6.269592476448415e-05,0.0055382251739501,0.0105819702148437,0.0044269526045865,0
IQOO-Z9X,0.0,0.0359840393066406,0.0359840393066406,8.821487426800313e-06,0.0108880996704101,0.0026009082794189,0.0049350261688232,0.0025949478149414,8.177757263187843e-06,0.1735198240220497,0.0648653662673593,0.0002451500053017,0.0062439441680907,0.0117575883865356,0.0052677707511714,0
IQOO-Z9X,10.635370016098022,0.0240528583526611,0.0240528583526611,1.907348632799924e-06,0.0098099708557128,0.0011858940124511,0.0033538341522216,0.0011849403381347,1.907348632799924e-06,0.2420478762947934,0.0901323288893292,7.929821083359528e-05,0.0058219432830811,0.0074385404586791,0.0027872741354831,0
IQOO-Z9X,10.634069919586182,0.023047924041748,0.023047924041748,-9.05990600590014e-06,0.0,0.0025699138641357,0.0038368701934814,0.002558946609497,8.130073547400078e-06,0.1453915382228218,0.054970518257991,-0.0003930898934537,0.0033509731292724,0.0095632195472716,0.004818236029875,0
IQOO-Z9X,0.0,0.0310308933258056,0.0310308933258056,8.82148742679988e-06,0.0120248794555664,0.0024440288543701,0.0050909519195556,0.0024418830871582,8.53538513179708e-06,0.3137153964948952,0.0843007844613634,0.0002842808079735,0.0097348690032959,0.0072845101356506,0.0024818505025056,0
OPPO-FINDX5_2,0.0,0.0727238655090332,0.0727238655090332,0.0046219825744628,0.0167310237884521,0.0057480335235595,0.0093729496002197,0.0057399272918701,9.05990600590014e-06,0.5910283057837694,0.0498449312517627,0.0635552379141451,0.0429818630218506,0.0239899158477783,0.0102545059400474,0
OPPO-FINDX5_2,0.0,0.067652940750122,0.067652940750122,0.000782012939453,0.0138740539550781,0.0042688846588134,0.0070440769195556,0.0042610168457031,8.82148742679988e-06,0.6856465214955058,0.0410210144595554,0.0115591862050976,0.0463860034942627,0.0225520133972167,0.0107965730757305,0
OPPO-FINDX5_2,0.0,0.0628881454467773,0.0628881454467773,0.0036499500274657,0.0144441127777099,0.0049309730529785,0.0089650154113769,0.0049221515655517,2.1457672119140625e-06,0.6669472119861101,0.0641463081752417,0.0580387607479183,0.0419430732727051,0.0196905136108398,0.009124434835926,0
OPPO-FINDX5_2,0.0,0.0607330799102783,0.0607330799102783,0.0027608871459961,0.0133159160614013,0.0038409233093261,0.006782054901123,0.0038309097290039,1.0013580322206295e-05,0.5595309598677833,0.0484271766908885,0.0454593633333727,0.0339820384979248,0.018412446975708,0.0071718672183942,0
OPPO-FINDX5_2,0.0,0.0646760463714599,0.0646760463714599,0.001971960067749,0.0126960277557373,0.0039129257202148,0.0071449279785156,0.0039038658142089,9.059906005900576e-06,0.6903354947635396,0.0499721680533491,0.0304898053975541,0.0446481704711914,0.0218005180358886,0.0104010347639309,0
